element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,364.820,364.81766+,340,,,1.3614135,4.7589704,4f3.(4I*).5d2.(3F),6M*,17/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,365.042,365.04013+,240,4.65e+06,B+,0.2045993,3.6000858,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,L3475
Nd,2,365.315,365.31771+,410,2.7e+06,C+,0.5594781,3.9523846,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475
Nd,2,366.226,366.22242+,470*,,,1.7728866,5.1574116,4f3.(4I*).5d2.(3F),6M*,21/2,4f3.5d.6p,,19/2,,,L3475
Nd,2,366.226,366.22537+,470*,,,1.5220567,4.9065544,4f4.(5I).5d,4K,11/2,,*,13/2,,,L3475
Nd,2,366.518,366.51774+,540,1.08e+07,B+,0.2045993,3.5863973,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475
Nd,2,367.236,367.23099+,540*,,,1.1714256,4.5466555,4f3.(4I*).5d2.(3F),6M*,15/2,4f3.5d.6p,,13/2,,,L3475
Nd,2,367.236,367.23969+,540*,,,2.2371579,5.6123078,4f3.5d.6s,4G*,9/2,4f3.6s.6p,6I,11/2,,,L3475
Nd,2,367.354,367.34846+,580,,,1.2511692,4.6253198,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,6I,7/2,,,L3475
Nd,2,367.818,367.81825+,240,2.00e+06,B+,0.0000000,3.3698412,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,L3475
Nd,2,368.580,368.57648+,1200*,,,0.9930899,4.3559988,4f3.(4I*).5d2.(3F),6M*,13/2,4f3.5d.6p,6L,11/2,,,L3475
Nd,2,368.580,368.57940+,1200*,,,1.3383214,4.7012037,4f3.(4I*).5d (5K*).6s,6L*,13/2,,,15/2,,,L3475
Nd,2,368.730,368.72841+,440,,,0.1822698,3.5437931,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475
Nd,2,368.969,368.96865+,410,,,0.3802292,3.7395638,4f4.(5I).6s,4I,11/2,,*,11/2,,,L3475
Nd,2,369.481,369.47943+,300,,,1.1714256,4.5261163,4f3.(4I*).5d2.(3F),6M*,15/2,,,13/2,,,L3475
Nd,2,369.756,369.75282+,410,,,1.5623007,4.9145111,4f3.(4I*).5d2.(3F),6M*,19/2,4f3.5d.6p,,17/2,,,L3475
Nd,2,370.495,,240,,,,,,,,,,,,,L3475
Nd,2,371.370,371.36890+,470,,,0.7421173,4.0797403,4f4.(5I).6s,4I,15/2,,*,15/2,,,L3475
Nd,2,371.420,371.41877+,370,,,1.6882532,5.0254280,4f3.(4I*).5d (5K*).6s,6K*,15/2,4f3.5d.6p,,17/2,,,L3475
Nd,2,371.473,371.46327+,640D*,,,0.7445586,4.0813337,4f4.(5I).5d,6K,9/2,,*,9/2,,,L3475
Nd,2,371.4808,371.48033+,640D*,,,0.0636448,3.4002666,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6H*,9/2,,,"L3260,L3475"
Nd,2,371.504,371.50414+,250,,,1.5024907,4.8388987,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,371.539,371.53752+,200*,,,0.0000000,3.3361083,4f4.(5I).6s,6I,7/2,,*,7/2,,,L3475
Nd,2,371.539,371.53915+,200*,,,1.3383214,4.6744151,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,371.568,371.56759+,470,,,0.4713792,3.8072175,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6H*,15/2,,,L3475
Nd,2,371.854,371.84837+,410*,,,1.0906103,4.4239298,4f4.(5I).5d,6G,5/2,,*,3/2,,,L3475
Nd,2,371.854,371.85113+,410*,,,1.3498463,4.6831411,4f4.(5I).5d,4G,5/2,,*,5/2,,,L3475
