element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Br,5,64.544,,,,700,,,,,,,,,,,,,L930
Br,4,64.9773,,64.9769+,,700,,,0.69579,19.77705,4s2.4p2,3P,2,4s2.4p.4d,3F,3,,,L1157
Br,5,65.264,,,,400,,,,,,,,,,,,,L930
Br,4,65.2667,,65.2686+,,400,,,2.00735,21.00336,4s2.4p2,1D,2,4s2.4p.4d,3D,2,,,L1157
Br,5,65.754,,,,800,,,,,,,,,,,,,L930
Br,4,66.1528,,66.1524+,,1000,,,2.00735,20.74957,4s2.4p2,1D,2,4s2.4p.4d,3D,1,,,L1157
Br,3,66.554,,,,500,,,,,,,,,,,,,L773
Br,3,67.719,,,,500,,,,,,,,,,,,,L773
Br,3,67.78,,,,300,,,,,,,,,,,,,L7483
Br,5,67.962,,,,800,,,,,,,,,,,,,L930
Br,4,68.0784,,68.0767+,,800,,,2.00735,20.21978,4s2.4p2,1D,2,4s2.4p.4d,3F,2,,,L1157
Br,4,68.3510,,68.3529+,,1000,,,2.00735,20.14619,4s2.4p2,1D,2,4s.4p3,1P,1,,,L1157
Br,3,68.768,,,,450,,,,,,,,,,,,,L773
Br,4,68.9045,,68.9044+,,700,,,2.00735,20.00101,4s2.4p2,1D,2,4s.4p3,3S,1,,,L1157
Br,3,69.02,,,,400,,,,,,,,,,,,,L7483
Br,3,69.699,,,,350,,,,,,,,,,,,,L773
Br,4,69.7723,,69.7728+,,1000,,,2.00735,19.77705,4s2.4p2,1D,2,4s2.4p.4d,3F,3,,,L1157
Br,4,70.3866,,70.3870+,,700,,,0.00000,17.61463,4s2.4p2,3P,0,4s.4p3,3P,1,,,L1157
Br,2,71.168,,,,300,,,,,,,,,,,,,L7484
Br,4,71.5385,,71.5371+,,1000,,,0.32509,17.65654,4s2.4p2,3P,1,4s.4p3,3P,2,,,L1157
Br,4,71.7098,,71.7105+,,500,,,0.32509,17.61463,4s2.4p2,3P,1,4s.4p3,3P,1,,,L1157
Br,4,72.2956,,72.2951+,,200,,,0.69579,17.84552,4s2.4p2,3P,2,4s.4p3,1D,2,,,L1157
Br,3,72.70,,,,300,,,,,,,,,,,,,L7483
Br,4,72.9570,,72.9499+,,800,,,0.32509,17.32088,4s2.4p2,3P,1,4s.4p3,3P,0,,,L1157
Br,4,73.1001,,73.1006+,,1000,,,0.69579,17.65654,4s2.4p2,3P,2,4s.4p3,3P,2,,,L1157
Br,4,73.2830,,73.2817+,,750,,,0.69579,17.61463,4s2.4p2,3P,2,4s.4p3,3P,1,,,L1157
Br,3,73.64,,,,300,,,,,,,,,,,,,L7483
Br,4,75.7633,,75.7611+,,400,,,10.42133,26.78648,4s.4p3,5S,2,4s2.4p.5p,3D,1,,,L1157
Br,3,76.963,,,,250,,,,,,,,,,,,,L773
Br,4,78.2808,,78.2819+,,700,,,2.00735,17.84552,4s2.4p2,1D,2,4s.4p3,1D,2,,,L1157
Br,4,78.4645,,78.4660+,,900,,,0.00000,15.80100,4s2.4p2,3P,0,4s.4p3,3D,1,,,L1157
Br,4,79.2261,,79.2272+,,300,,,2.00735,17.65654,4s2.4p2,1D,2,4s.4p3,3P,2,,,L1157
Br,4,80.0122,,80.0127+,,1000,,,0.32509,15.82064,4s2.4p2,3P,1,4s.4p3,3D,2,,,L1157
Br,4,80.1145,,80.1143+,,800,,,0.32509,15.80100,4s2.4p2,3P,1,4s.4p3,3D,1,,,L1157
Br,5,81.295,,,,700,,,,,,,,,,,,,L930
Br,4,81.3657,,81.3657+,,1000,,,0.69579,15.93368,4s2.4p2,3P,2,4s.4p3,3D,3,,,L1157
Br,2,81.548,,,,250,,,,,,,,,,,,,L7484
Br,3,81.779,,,,250,,,,,,,,,,,,,L773
Br,4,81.9732,,81.9738+,,800,,,0.69579,15.82064,4s2.4p2,3P,2,4s.4p3,3D,2,,,L1157
Br,4,82.0804,,82.0804+,,600,,,0.69579,15.80100,4s2.4p2,3P,2,4s.4p3,3D,1,,,L1157
Br,5,85.081,,,,1000,,,,,,,,,,,,,L930
